Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
malchin hallenbau;33;33;0;70;0.00;https://www.smart11.de/social-recruiting-agentur;0.00;0.00;0.04;528;
solar leads;18;18;0;70;12.33;https://www.smart11.de/photovoltaik-leads;0.00;0.00;0.66;184;
agentur für recruiting ads;55;55;0;70;0.00;https://www.smart11.de/social-recruiting-agentur;0.00;0.00;0.00;142;
facebook marketing unternehmen;28;28;0;90;0.00;https://www.smart11.de/facebook-instagram-agentur;0.00;0.00;0.33;46;
google werbung agentur;33;33;0;210;48.10;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.86;106;
agentur für google ads;32;32;0;210;42.26;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.44;137;
google ads werbeagentur;32;32;0;90;0.00;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.55;134;
smart321;25;25;0;170;0.00;https://www.smart11.de/;0.00;0.00;0.33;107;
performance recruiting regensburg;8;8;0;70;0.00;https://www.smart11.de/mitarbeitergewinnung;0.00;0.00;0.00;53400;
performance recruiting regensburg;97;97;0;70;0.00;https://www.smart11.de/lokales-seo;0.00;0.00;0.00;53400;
facebook ads agentur;37;37;0;1000;14.40;https://www.smart11.de/facebook-instagram-agentur;0.00;0.00;0.25;2370000;
hochpreis leadquelle;46;46;0;260;5.55;https://www.smart11.de/referenz-neukundengewinnung;0.00;0.00;0.50;104;
aarsleff spezialtiefbau gmbh;16;16;0;320;0.60;https://www.smart11.de/fallstudie-aarsleff;0.00;0.00;0.17;111;
smart karriere;24;24;0;90;0.00;https://www.smart11.de/karriere;0.00;0.00;0.03;101;
google ads erstellen lassen;5;5;0;90;15.06;https://www.smart11.de/google-ads-agentur;0.00;0.00;0.70;108;
factor eleven;46;46;0;720;5.29;https://www.smart11.de/social-recruiting-agentur;0.00;0.00;0.07;74;
agentur facebook;28;28;0;260;11.88;https://www.smart11.de/facebook-instagram-agentur;0.00;0.00;0.30;108;
agentur facebook;31;31;0;260;11.88;https://www.smart11.de/facebook-instagram-agentur;0.00;0.00;0.30;108;
sascha d'avis;38;38;0;720;0.00;https://www.smart11.de/das-team-von-smart11;0.00;0.00;0.33;109;
tech11 gmbh;41;41;0;110;0.00;https://www.smart11.de/;0.00;0.00;0.02;106;
until11;31;31;0;70;5.79;https://www.smart11.de/das-team-von-smart11;0.00;0.00;0.10;38200000;
kosch klink performance gmbh;57;57;0;110;0.00;https://www.smart11.de/performance-marketing-agentur;0.00;0.00;0.04;109;
buy solar leads;48;48;0;70;0.00;https://www.smart11.de/photovoltaik-leads;0.00;0.00;0.00;194;
